alignment_id,candidate_id,ku_id,external_source,external_id,method,decision,evidence_ref,accessed_date
aln-262,terms/pendant-pictures,units/terms/pendant-pictures,Wikidata,Q591644,wikimedia,same,REV-034,2026-09-10
aln-263,terms/platonism,units/terms/platonism,Wikidata,Q193589,wikimedia,same,REV-034,2026-09-10
aln-264,terms/self-portrait,units/terms/self-portrait,Wikidata,Q192110,wikimedia,same,REV-034,2026-09-10
aln-265,terms/servitu-particolare,units/terms/servitu-particolare,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-266,terms/titular-church,units/terms/titular-church,Wikidata,Q1092939,wikimedia,same,REV-034,2026-09-10
aln-267,terms/ultramarine,units/terms/ultramarine,Wikidata,Q219660,wikimedia,same,REV-034,2026-09-10
aln-268,works/albani-servi-altarpiece-1639,units/works/albani-servi-altarpiece-1639,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-269,works/barberini-salone-bozzetto-disputed,units/works/barberini-salone-bozzetto-disputed,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-270,works/bernini-cardinal-borghese-head,units/works/bernini-cardinal-borghese-head,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-271,works/bernini-david,units/works/bernini-david,Wikidata,Q766487,wikimedia,same,REV-034,2026-09-10
aln-272,works/bernini-thomas-baker-bust,units/works/bernini-thomas-baker-bust,Wikidata,Q5002075,wikimedia,same,REV-034,2026-09-10
aln-273,works/camassei-martyrdom-saint-sebastian,units/works/camassei-martyrdom-saint-sebastian,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-274,works/camassei-peter-paul-mamertine-modello,units/works/camassei-peter-paul-mamertine-modello,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-275,works/caravaggio-conversion-saint-paul,units/works/caravaggio-conversion-saint-paul,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-276,works/caravaggio-giustiniani-rejected-altarpiece,units/works/caravaggio-giustiniani-rejected-altarpiece,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-277,works/caravaggio-martyrdom-saint-peter,units/works/caravaggio-martyrdom-saint-peter,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-278,works/comedy-performed-1635,units/works/comedy-performed-1635,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-279,works/cortona-doria-pamfili-modelli-disputed,units/works/cortona-doria-pamfili-modelli-disputed,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-280,works/ferri-laparelli-altarpiece,units/works/ferri-laparelli-altarpiece,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-281,works/ferri-sant-agnese-cupola,units/works/ferri-sant-agnese-cupola,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-282,works/ferri-sant-agnese-modello,units/works/ferri-sant-agnese-modello,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-283,works/gaulli-gesu-vaults,units/works/gaulli-gesu-vaults,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-284,works/gavasetti-sant-antonino-frescoes,units/works/gavasetti-sant-antonino-frescoes,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-285,works/guercino-sicilian-altarpiece-1665,units/works/guercino-sicilian-altarpiece-1665,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-286,works/lanfranco-crucifixion-stock,units/works/lanfranco-crucifixion-stock,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-287,works/lanfranco-magdalene-stock,units/works/lanfranco-magdalene-stock,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-288,works/mola-air-valmontone,units/works/mola-air-valmontone,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-289,works/mola-four-elements-valmontone,units/works/mola-four-elements-valmontone,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-290,works/plague-at-ashdod-1631,units/works/plague-at-ashdod-1631,Wikidata,Q3900760,wikimedia,same,REV-034,2026-09-10
aln-291,works/poussin-massacre-innocents,units/works/poussin-massacre-innocents,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-292,works/poussin-spring-valguarnera,units/works/poussin-spring-valguarnera,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-293,works/reni-justice-embracing-peace,units/works/reni-justice-embracing-peace,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-294,works/reni-massacre-innocents,units/works/reni-massacre-innocents,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-295,works/ricci-beheading-john-baptist-1682,units/works/ricci-beheading-john-baptist-1682,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-296,works/rubens-chiesa-nuova-altarpiece-1606,units/works/rubens-chiesa-nuova-altarpiece-1606,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-297,works/sacchi-capuchin-altarpiece-modello,units/works/sacchi-capuchin-altarpiece-modello,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-298,works/valentin-genre-commission,units/works/valentin-genre-commission,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-299,,units/,Wikidata,,,same,REV-052,2026-09-11
aln-300,,units/,Wikidata,,,same,REV-052,2026-09-11
aln-301,,units/,Wikidata,,,undecided,REV-052,
aln-302,,units/,Wikidata,,,undecided,REV-052,
aln-303,,units/,Wikidata,,,undecided,REV-052,
aln-304,,units/,Wikidata,,,undecided,REV-052,
aln-305,,units/,Wikidata,,,undecided,REV-052,
aln-306,,units/,Wikidata,,,undecided,REV-052,
aln-307,,units/,Wikidata,,,undecided,REV-065,
aln-308,,units/,Wikidata,,,undecided,REV-065,
aln-309,,units/,Wikidata,,,undecided,REV-065,
aln-310,,units/,Wikidata,,,undecided,REV-118,
aln-311,,units/,Wikidata,,,undecided,REV-118,
aln-312,,units/,Wikidata,,,undecided,REV-118,
aln-313,,units/,Wikidata,,,undecided,REV-120,
aln-314,,units/,Wikidata,,,undecided,2026-09-25-baldoino-cathedral,
aln-315,,units/,Wikidata,,,undecided,REV-122,
aln-316,,units/,Wikidata,,,undecided,REV-122,
aln-317,,units/,Wikidata,,,undecided,2026-09-25-maggiotto-pinelli,
aln-318,,units/,Wikidata,,,undecided,2026-09-25-maggiotto-pinelli,
aln-319,,units/,Wikidata,,,undecided,fontana-family-2026-09-25,2026-09-25
aln-320,,units/,Wikidata,,,undecided,fontana-family-2026-09-25,2026-09-25
aln-321,,units/,Wikidata,,,undecided,REV-125-bernini-family,
aln-322,,units/,Wikidata,,,undecided,REV-125-bernini-family,
aln-323,,units/,Wikidata,,,undecided,REV-125-bernini-family,
aln-324,,units/,Wikidata,,,undecided,salvio-pala-del-voto-2026-09-25,
aln-325,,units/,Wikidata,,,undecided,salvio-pala-del-voto-2026-09-25,
aln-326,,units/,Wikidata,,,undecided,salvio-pala-del-voto-2026-09-25,
aln-327,,units/,Wikidata,,,undecided,rosa-satyrs-carousing-1663-06-02,
aln-328,,units/,Wikidata,,,undecided,guercino-sicilian-altarpiece-commissioner-2026-09-25,
aln-329,,units/,Wikidata,,,undecided,guercino-altar-commissioner-2026-09-25,
aln-330,,units/,Wikidata,,,undecided,REV-126,2026-09-25
aln-331,,units/,Wikidata,,,same,REV-127,2026-09-25
aln-332,,units/,Wikidata,,,undecided,REV-127,2026-09-25
aln-333,,units/,Wikidata,,,undecided,REV-127,2026-09-25
aln-334,,units/,Wikidata,,,same,REV-128,2026-09-25
aln-335,,units/,Wikidata,,,undecided,REV-128,2026-09-25
