alignment_id,candidate_id,ku_id,external_source,external_id,method,decision,evidence_ref,accessed_date
aln-88,persons/cardinal-rospigliosi-gimignani,units/persons/cardinal-rospigliosi-gimignani,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-89,persons/carlo-cesare-malvasia,units/persons/carlo-cesare-malvasia,Wikidata,Q1160847,wikimedia,same,REV-034,2026-09-10
aln-90,persons/carlo-maratta,units/persons/carlo-maratta,Wikidata,Q538998,wikimedia,same,REV-034,2026-09-10
aln-91,persons/carlo-quarisimini-ch1,units/persons/carlo-quarisimini-ch1,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-92,persons/carlo-ridolfi,units/persons/carlo-ridolfi,Wikidata,Q776990,wikimedia,same,REV-034,2026-09-10
aln-93,persons/cesare-leopardi-dosimo,units/persons/cesare-leopardi-dosimo,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-94,persons/charles-v,units/persons/charles-v,Wikidata,Q32500,wikimedia,same,REV-034,2026-09-10
aln-95,persons/christina-of-sweden,units/persons/christina-of-sweden,Wikidata,Q52937,wikimedia,same,REV-034,2026-09-10
aln-96,persons/ciro-ferri,units/persons/ciro-ferri,Wikidata,Q975452,wikimedia,same,REV-034,2026-09-10
aln-97,persons/claude-lorrain,units/persons/claude-lorrain,Wikidata,Q214074,wikimedia,same,REV-034,2026-09-10
aln-98,persons/clement-xi,units/persons/clement-xi,Wikidata,Q129967,wikimedia,same,REV-034,2026-09-10
aln-99,persons/correggio,units/persons/correggio,Wikidata,Q8457,wikimedia,same,REV-034,2026-09-10
aln-100,persons/denis-mahon,units/persons/denis-mahon,Wikidata,Q3705445,wikimedia,same,REV-034,2026-09-10
aln-101,persons/domenichino,units/persons/domenichino,Wikidata,Q320118,wikimedia,same,REV-034,2026-09-10
aln-102,persons/duke-bracciano-mulier,units/persons/duke-bracciano-mulier,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-103,persons/duke-mantua-reni-1617,units/persons/duke-mantua-reni-1617,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-104,persons/duke-parma-ghezzi,units/persons/duke-parma-ghezzi,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-105,persons/fabrizio-arragona,units/persons/fabrizio-arragona,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-106,persons/fabrizio-valguarnera,units/persons/fabrizio-valguarnera,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-107,persons/federigo-zuccari,units/persons/federigo-zuccari,Wikidata,Q345605,wikimedia,same,REV-034,2026-09-10
aln-108,persons/filippo-baldinucci,units/persons/filippo-baldinucci,Wikidata,Q979574,wikimedia,same,REV-034,2026-09-10
aln-109,persons/filippo-lauri,units/persons/filippo-lauri,Wikidata,Q3071902,wikimedia,same,REV-034,2026-09-10
aln-110,persons/flavio-chigi,units/persons/flavio-chigi,Wikidata,Q1397340,wikimedia,same,REV-034,2026-09-10
aln-111,persons/francesco-albani,units/persons/francesco-albani,Wikidata,Q358147,wikimedia,same,REV-034,2026-09-10
aln-112,persons/francesco-barberini,units/persons/francesco-barberini,Wikidata,Q534683,wikimedia,same,REV-034,2026-09-10
aln-113,persons/francesco-fontana,units/persons/francesco-fontana,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-114,persons/francesco-novetti,units/persons/francesco-novetti,Wikidata,,wikimedia,undecided,REV-034,2026-09-10
aln-115,persons/francesco-trevisani,units/persons/francesco-trevisani,Wikidata,Q963875,wikimedia,same,REV-034,2026-09-10
aln-116,persons/frederick-iii,units/persons/frederick-iii,Wikidata,Q150966,wikimedia,same,REV-034,2026-09-10
aln-117,persons/fulvio-testi,units/persons/fulvio-testi,Wikidata,Q594614,wikimedia,same,REV-034,2026-09-10
aln-118,persons/gaspard-dughet,units/persons/gaspard-dughet,Wikidata,Q741375,wikimedia,same,REV-034,2026-09-10
aln-119,persons/gentile-bellini,units/persons/gentile-bellini,Wikidata,Q290407,wikimedia,same,REV-034,2026-09-10
aln-120,persons/giacinto-brandi,units/persons/giacinto-brandi,Wikidata,Q1748199,wikimedia,same,REV-034,2026-09-10
aln-121,persons/giambattista-passeri,units/persons/giambattista-passeri,Wikidata,Q962495,wikimedia,same,REV-034,2026-09-10
aln-122,persons/giammaria-morandi,units/persons/giammaria-morandi,Wikidata,Q1773095,wikimedia,same,REV-034,2026-09-10
aln-123,persons/gian-lorenzo-bernini,units/persons/gian-lorenzo-bernini,Wikidata,Q160538,wikimedia,same,REV-034,2026-09-10
aln-124,persons/gianandrea-carlone,units/persons/gianandrea-carlone,Wikidata,Q3106993,wikimedia,same,REV-034,2026-09-10
