reference_id,enrichment_id,ku_id,content_field,cell_index,link_index,link_label,target_type,target_id,resolution_status
ref-c9bcbaa4c712562c,enr-00159,units/archives/dizionario-biografico-degli-italiani,cells,1,0,意大利百科全书研究院,entity,units/institutions/istituto-della-enciclopedia-italiana,resolved_entity
ref-d801e1c411e585ef,enr-00160,units/archives/dizionario-biografico-degli-italiani,value,,0,弗朗西斯·哈斯克尔,entity,units/persons/francis-haskell,resolved_entity
ref-e901c0a1940d8964,enr-00160,units/archives/dizionario-biografico-degli-italiani,cells,1,0,弗朗西斯·哈斯克尔,entity,units/persons/francis-haskell,resolved_entity
ref-3ea84e9befe4a0d3,enr-08705,units/archives/gerusalemme-liberata-illustrations-1745,value,,0,托尔夸托·塔索（Torquato Tasso）,entity,units/persons/torquato-tasso,resolved_entity
ref-953ea7f552aa0e27,enr-08705,units/archives/gerusalemme-liberata-illustrations-1745,cells,1,0,托尔夸托·塔索（Torquato Tasso）,entity,units/persons/torquato-tasso,resolved_entity
ref-440a90be0f1447e3,enr-00166,units/archives/gerusalemme-liberata-illustrations-1745,value,,0,乔万尼·巴蒂斯塔·皮亚泽塔,entity,units/persons/piazzetta,resolved_entity
ref-431dfdf9f0ac1c6e,enr-00166,units/archives/gerusalemme-liberata-illustrations-1745,cells,1,0,乔万尼·巴蒂斯塔·皮亚泽塔,entity,units/persons/piazzetta,resolved_entity
ref-9a5f21c15b61e273,enr-08706,units/archives/gerusalemme-liberata-illustrations-1745,value,,0,乔万尼·巴蒂斯塔·阿尔布里齐,entity,units/persons/albrizzi,resolved_entity
ref-f8215d8a3599205b,enr-08706,units/archives/gerusalemme-liberata-illustrations-1745,cells,1,0,乔万尼·巴蒂斯塔·阿尔布里齐,entity,units/persons/albrizzi,resolved_entity
ref-4c6261b0708065eb,enr-08707,units/archives/gerusalemme-liberata-illustrations-1745,value,,0,威尼斯（Venice）,entity,units/places/venice,resolved_entity
ref-19c4ef521b50f5fc,enr-08707,units/archives/gerusalemme-liberata-illustrations-1745,cells,1,0,威尼斯（Venice）,entity,units/places/venice,resolved_entity
ref-213399ae434569a4,enr-00170,units/archives/gerusalemme-liberata-illustrations-1745,value,,0,插图末页,entity,units/works/piazzetta-final-plate-of-illustrations-to-gerusalemme-liberata,resolved_entity
ref-5635b8add357660f,enr-00170,units/archives/gerusalemme-liberata-illustrations-1745,cells,1,0,插图末页,entity,units/works/piazzetta-final-plate-of-illustrations-to-gerusalemme-liberata,resolved_entity
ref-41eb1dfd67df1014,enr-08718,units/archives/gilmartin-san-clemente-1974,value,,0,约翰·吉尔马丁（John Gilmartin）,entity,units/persons/john-gilmartin,resolved_entity
ref-585f063f9345a5a8,enr-08718,units/archives/gilmartin-san-clemente-1974,cells,1,0,约翰·吉尔马丁（John Gilmartin）,entity,units/persons/john-gilmartin,resolved_entity
ref-acab9c9168802b5a,enr-08719,units/archives/gilmartin-san-clemente-1974,value,,0,《伯灵顿杂志》（The Burlington Magazine）,entity,units/archives/burlington-magazine,resolved_entity
ref-795e56137f0150f5,enr-08719,units/archives/gilmartin-san-clemente-1974,cells,1,0,《伯灵顿杂志》（The Burlington Magazine）,entity,units/archives/burlington-magazine,resolved_entity
ref-eed85765d390cac2,enr-00180,units/archives/gilmartin-san-clemente-1974,value,,0,圣克莱孟堂重新装饰,entity,units/events/san-clemente-redecoration,resolved_entity
ref-5c18b66a6bf070bd,enr-00180,units/archives/gilmartin-san-clemente-1974,cells,1,0,圣克莱孟堂重新装饰,entity,units/events/san-clemente-redecoration,resolved_entity
ref-3eae964b51050393,enr-08741,units/archives/goldoni-opere-vol-2-1761,value,,0,卡洛·戈尔多尼（Carlo Goldoni）,entity,units/persons/goldoni,resolved_entity
ref-dae855d100dfcb60,enr-08741,units/archives/goldoni-opere-vol-2-1761,cells,1,0,卡洛·戈尔多尼（Carlo Goldoni）,entity,units/persons/goldoni,resolved_entity
ref-51fae53c9536b801,enr-08742,units/archives/goldoni-opere-vol-2-1761,value,,0,乔万尼·巴蒂斯塔·帕斯夸利,entity,units/persons/pasquali,resolved_entity
ref-1b5f88be398969a3,enr-08742,units/archives/goldoni-opere-vol-2-1761,cells,1,0,乔万尼·巴蒂斯塔·帕斯夸利,entity,units/persons/pasquali,resolved_entity
ref-9de85ad299065597,enr-08743,units/archives/goldoni-opere-vol-2-1761,value,,0,威尼斯（Venice）,entity,units/places/venice,resolved_entity
ref-86ceef22469aff0b,enr-08743,units/archives/goldoni-opere-vol-2-1761,cells,1,0,威尼斯（Venice）,entity,units/places/venice,resolved_entity
ref-ffc11d4a6c5cb76c,enr-00191,units/archives/goldoni-opere-vol-2-1761,value,,0,第二卷卷首图,entity,units/works/pietro-antonio-novelli-frontispiece-to-vol-2-of-goldoni-opere,resolved_entity
ref-2f06726174e50a82,enr-00191,units/archives/goldoni-opere-vol-2-1761,cells,1,0,第二卷卷首图,entity,units/works/pietro-antonio-novelli-frontispiece-to-vol-2-of-goldoni-opere,resolved_entity
ref-cede444bcc7a5e08,enr-08766,units/archives/harris-andrea-sacchi-1977,value,,0,安·萨瑟兰·哈里斯,entity,units/persons/ann-sutherland-harris,resolved_entity
ref-ac43930cc73abf09,enr-08766,units/archives/harris-andrea-sacchi-1977,cells,1,0,安·萨瑟兰·哈里斯,entity,units/persons/ann-sutherland-harris,resolved_entity
ref-d70cdfe3f84d7221,enr-08767,units/archives/harris-andrea-sacchi-1977,value,,0,安德烈亚·萨基,entity,units/persons/andrea-sacchi,resolved_entity
ref-1a932f58ee7e69d7,enr-08767,units/archives/harris-andrea-sacchi-1977,cells,1,0,安德烈亚·萨基,entity,units/persons/andrea-sacchi,resolved_entity
ref-11a2ca328a4a1922,enr-08769,units/archives/harris-andrea-sacchi-1977,value,,0,伦敦,entity,units/places/london,resolved_entity
ref-cdfa8b9e9cc3e54b,enr-08769,units/archives/harris-andrea-sacchi-1977,cells,1,0,伦敦,entity,units/places/london,resolved_entity
ref-eaf3e789f82239d1,enr-08770,units/archives/harris-andrea-sacchi-1977,value,,0,牛津,entity,units/places/oxford,resolved_entity
ref-b8beaee3dde98d90,enr-08770,units/archives/harris-andrea-sacchi-1977,cells,1,0,牛津,entity,units/places/oxford,resolved_entity
ref-ee9984646f4a78dc,enr-08771,units/archives/harris-andrea-sacchi-1977,value,,0,费顿出版社,entity,units/institutions/phaidon,resolved_entity
